pattern,original_bytes,tool,total_bytes,payload_bits,payload_equivalent_bytes,metadata_bits,metadata_equivalent_bytes,roundtrip_verified,compressed_sha256,original_sha256,accounting_details,total_compression_ratio,payload_compression_ratio
all-zero,1,gzip,21,24,3,144,18,True,8ea776040e798cccdd5f0ffedc911b2e95ed69633fad99ef56c8fbb0d2096df3,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}",0.047619047619,0.333333333333
all-zero,1,xz,68,40,5,504,63,True,5253e41cec3eef76836fdddde823879c9826f25405ab0a5185bbcebf9522db63,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""block_checks_bytes"": 8, ""block_count"": 1, ""block_header_bytes"": 20, ""block_padding_bytes"": 3, ""index_bytes"": 8, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}",0.0147058823529,0.2
all-zero,1,bzip2,37,179,22.375,117,14.625,True,c2c3bdc75da097685d23b36b9921ee973874b97cf0d30988c0a2f251a8d8f3eb,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 85}",0.027027027027,0.0446927374302
all-zero,1,lzma,24,88,11,104,13,True,b160b8e9471dd24106f78ba88503b47bd3e9de1ee5fde2330b31a4b6909bdcbd,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}",0.0416666666667,0.0909090909091
all-zero,1,lz4,20,8,1,152,19,True,82e6b55ecc1878ce4bc090696160270605924575fff8efabcf708c0d8f52d391,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""block_checksum_bytes"": 0, ""block_count"": 1, ""block_size_headers_and_endmark_bytes"": 8, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}",0.05,1
all-zero,1,zstd,14,8,1,104,13,True,e480e24e0b80f98f114f6be716fe41308497347047a8a08844dbc19039805117,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"{""block_count"": 1, ""block_header_bytes"": 3, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}",0.0714285714286,1
all-zero,10,gzip,23,40,5,144,18,True,74a0beae4f3ac4e9dc76ba1d933405f9a047755f872685e53456c7d22840977f,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}",0.434782608696,2
all-zero,10,xz,76,112,14,496,62,True,6fdcce1363beaba7763a62b32492be018f7bfee1edcb0329f74732facc4020f6,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,"{""block_checks_bytes"": 8, ""block_count"": 1, ""block_header_bytes"": 20, ""block_padding_bytes"": 2, ""index_bytes"": 8, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}",0.131578947368,0.714285714286
all-zero,10,bzip2,37,184,23,112,14,True,df23a35ec6b53f2e0ec43e033c9ebc7c138785f0783fd96b4e4e8326988bceb2,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 80}",0.27027027027,0.434782608696
all-zero,10,lzma,25,96,12,104,13,True,3a8cf5d2db73ecb0b517581debb4b0faa521474f9df5c1c407f250e1fa3c850e,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}",0.4,0.833333333333
all-zero,10,lz4,29,80,10,152,19,True,724d18c7e6d539ee14c890f9e576a008e16d2641959c7781a5ab998619a8e43f,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,"{""block_checksum_bytes"": 0, ""block_count"": 1, ""block_size_headers_and_endmark_bytes"": 8, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}",0.344827586207,1
all-zero,10,zstd,23,80,10,104,13,True,6ae0ed7d6f825258db8897ee7d5f5210ce17e305a8541bb45f4c6ad264c41355,01d448afd928065458cf670b60f5a594d735af0172c8d67f22a81680132681ca,"{""block_count"": 1, ""block_header_bytes"": 3, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}",0.434782608696,1
all-zero,100,gzip,24,48,6,144,18,True,b534bb7d3202da5ba7273bd908fa4b923cd05d396ff07d321d7349192e9ab939,cd00e292c5970d3c5e2f0ffa5171e555bc46bfc4faddfb4a418b6840b86e79a3,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}",4.16666666667,16.6666666667
all-zero,100,xz,76,112,14,496,62,True,859d74d5c4c288b4e40d37e848cdaee41f20536fb7032d3b56cc3c5f613a4db1,cd00e292c5970d3c5e2f0ffa5171e555bc46bfc4faddfb4a418b6840b86e79a3,"{""block_checks_bytes"": 8, ""block_count"": 1, ""block_header_bytes"": 20, ""block_padding_bytes"": 2, ""index_bytes"": 8, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}",1.31578947368,7.14285714286
all-zero,100,bzip2,39,200,25,112,14,True,f7aeb7769cf6e293d416691cfd7cdcc479de866b1f4029faf239358f5b682915,cd00e292c5970d3c5e2f0ffa5171e555bc46bfc4faddfb4a418b6840b86e79a3,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 80}",2.5641025641,4
all-zero,100,lzma,26,104,13,104,13,True,ba49c91592991691ad914ef5a366ad6a25ed6ac046600a83be96ee5bdc3e8dd3,cd00e292c5970d3c5e2f0ffa5171e555bc46bfc4faddfb4a418b6840b86e79a3,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}",3.84615384615,7.69230769231
all-zero,100,lz4,30,88,11,152,19,True,7e405d3c09d77e69e046b4bb0a5928530407ac42cba10c1f873a723f878e5053,cd00e292c5970d3c5e2f0ffa5171e555bc46bfc4faddfb4a418b6840b86e79a3,"{""block_checksum_bytes"": 0, ""block_count"": 1, ""block_size_headers_and_endmark_bytes"": 8, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}",3.33333333333,9.09090909091
